Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
PINK1_HUMAN,Q9BXM7,PINK1,Protein kinase superfamily  Ser/Thr protein kinase family,Mitochondrion outer membrane Single-pass membrane protein Mitochondrion inner membrane Single-pass membrane protein Cytoplasm  cytosol,1p36.12,Serine/threonine-protein kinase PINK1  mitochondrial  
PK3CA_HUMAN,P42336,PIK3CA,PI3/PI4-kinase family,Endoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side Lysosome Cytoplasm Nucleus  PML body Microsome membrane,3q26.32,Phosphatidylinositol 4 5-bisphosphate 3-kinase catalytic subunit alpha isoform 
PK3CB_HUMAN,P42338,PIK3CB,PI3/PI4-kinase family,Cytoplasm Nucleus,3q22.3,Phosphatidylinositol 4 5-bisphosphate 3-kinase catalytic subunit beta isoform 
PK3CD_HUMAN,O00329,PIK3CD,PI3/PI4-kinase family,Cytoplasm,1p36.22,Phosphatidylinositol 4 5-bisphosphate 3-kinase catalytic subunit delta isoform 
PK3CG_HUMAN,P48736,PIK3CG,PI3/PI4-kinase family,Cytoplasm Cell membrane,7q22.3,Phosphatidylinositol 4 5-bisphosphate 3-kinase catalytic subunit gamma isoform 
PKDCC_HUMAN,Q504Y2,PKDCC,Protein kinase superfamily,Secreted Golgi apparatus,2p21,Extracellular tyrosine-protein kinase PKDCC  
PKN1_HUMAN,Q16512,PKN1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Endosome Cell membrane Peripheral membrane protein Cleavage furrow Midbody,19p13.12,Serine/threonine-protein kinase N1  
PKN2_HUMAN,Q16513,PKN2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Membrane Cell projection  lamellipodium Cytoplasm  cytoskeleton Cleavage furrow Midbody Cell junction,1p22.2,Serine/threonine-protein kinase N2  
PKN3_HUMAN,Q6P5Z2,PKN3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Nucleus Cytoplasm  perinuclear region,9q34.11,Serine/threonine-protein kinase N3  
PLK1_HUMAN,P53350,PLK1,Protein kinase superfamily  Ser/Thr protein kinase family  CDC5/Polo subfamily,Nucleus. Chromosome  centromere  kinetochore. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle Midbody.,16p12.2,Serine/threonine-protein kinase PLK1  
PLK2_HUMAN,Q9NYY3,PLK2,Protein kinase superfamily  Ser/Thr protein kinase family  CDC5/Polo subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Cell projection  dendrite,5q11.2,Serine/threonine-protein kinase PLK2  
PLK3_HUMAN,Q9H4B4,PLK3,Protein kinase superfamily  Ser/Thr protein kinase family  CDC5/Polo subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Cell projection  dendrite,1p34.1,Serine/threonine-protein kinase PLK3  
PLK4_HUMAN,O00444,PLK4,Protein kinase superfamily  Ser/Thr protein kinase family  CDC5/Polo subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Nucleus  nucleolus Cleavage furrow.,4q28.1,Serine/threonine-protein kinase PLK4  
PLK5_HUMAN,Q496M5,PLK5,Protein kinase superfamily  Ser/Thr protein kinase family  CDC5/Polo subfamily,Nucleus  nucleolus Cytoplasm,,Inactive serine/threonine-protein kinase PLK5 
PMYT1_HUMAN,Q99640,PKMYT1,Protein kinase superfamily  Ser/Thr protein kinase family  WEE1 subfamily,Endoplasmic reticulum membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,16p13.3,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase  
PRAG1_HUMAN,Q86YV5,PRAG1,Protein kinase superfamily,Cytoplasm Cell junction  focal adhesion Nucleus,8p23.1,Inactive tyrosine-protein kinase PRAG1 
PRKDC_HUMAN,P78527,PRKDC,PI3/PI4-kinase family,Nucleus Nucleus  nucleolus,8q11.21,DNA-dependent protein kinase catalytic subunit 
PRKX_HUMAN,P51817,PRKX,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Apical cell membrane Lipid-anchor,Xp22.33,cAMP-dependent protein kinase catalytic subunit PRKX 
PRKY_HUMAN,O43930,PRKY,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Apical cell membrane Lipid-anchor,Yp11.2,Putative serine/threonine-protein kinase PRKY 
PRP4B_HUMAN,Q13523,PRPF4B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,6p25.2,Serine/threonine-protein kinase PRP4 homolog  
PRPK_HUMAN,Q96S44,TP53RK,Protein kinase superfamily  BUD32 family,Cytoplasm Nucleus,20q13.12,EKC/KEOPS complex subunit TP53RK  
PTK6_HUMAN,Q13882,PTK6,Protein kinase superfamily  Tyr protein kinase family  BRK/PTK6/SIK subfamily,Cytoplasm. Nucleus. Cell projection  ruffle. Membrane,20q13.33,Protein-tyrosine kinase 6  
PTK7_HUMAN,Q13308,PTK7,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Membrane Single-pass type I membrane protein Cell junction,6p21.1,Inactive tyrosine-protein kinase 7 
PXK_HUMAN,Q7Z7A4,PXK,Protein kinase superfamily,Cytoplasm Cell membrane Peripheral membrane protein,3p14.3,PX domain-containing protein kinase-like protein 
RAF1_HUMAN,P04049,RAF1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection  axon. Cell projection  dendrite. Endoplasmic reticulum Cytoplasmic vesicle  secretory vesicle  synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix,3p25.2,RAF proto-oncogene serine/threonine-protein kinase  
RET_HUMAN,P07949,RET,Protein kinase superfamily  Tyr protein kinase family,Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein,10q11.21,Proto-oncogene tyrosine-protein kinase receptor Ret  
RIOK1_HUMAN,Q9BRS2,RIOK1,Protein kinase superfamily  RIO-type Ser/Thr kinase family,Cytoplasm  cytosol,6p24.3,Serine/threonine-protein kinase RIO1  
RIOK2_HUMAN,Q9BVS4,RIOK2,Protein kinase superfamily  RIO-type Ser/Thr kinase family,Cytoplasm,5q15,Serine/threonine-protein kinase RIO2  
RIOK3_HUMAN,O14730,RIOK3,Protein kinase superfamily  RIO-type Ser/Thr kinase family,Cytoplasm,18q11.2,Serine/threonine-protein kinase RIO3  
RIPK1_HUMAN,Q13546,RIPK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Cell membrane,6p25.2,Receptor-interacting serine/threonine-protein kinase 1  
RIPK2_HUMAN,O43353,RIPK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm,8q21.3,Receptor-interacting serine/threonine-protein kinase 2  
RIPK3_HUMAN,Q9Y572,RIPK3,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm  cytosol Cell membrane Mitochondrion,14q12,Receptor-interacting serine/threonine-protein kinase 3  
RIPK4_HUMAN,P57078,RIPK4,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Membrane Peripheral membrane protein,21q22.3,Receptor-interacting serine/threonine-protein kinase 4  
RK_HUMAN,Q15835,GRK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Membrane Lipid-anchor,13q34,Rhodopsin kinase 
RN5A_HUMAN,Q05823,RNASEL,Protein kinase superfamily,Cytoplasm Mitochondrion,1q25.3,2-5A-dependent ribonuclease 
ROCK1_HUMAN,Q13464,ROCK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Golgi apparatus membrane; Peripheral membrane protein. Cell projection  bleb. Cytoplasm  cytoskeleton Cell membrane Cell projection  lamellipodium Cell projection  ruffle,18q11.1,Rho-associated protein kinase 1  
ROCK2_HUMAN,O75116,ROCK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome.,2p25.1,Rho-associated protein kinase 2  
RON_HUMAN,Q04912,MST1R,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass type I membrane protein,3p21.31,Macrophage-stimulating protein receptor 
ROR1_HUMAN,Q01973,ROR1,Protein kinase superfamily  Tyr protein kinase family  ROR subfamily,Membrane Single-pass type I membrane protein. Cell projection  axon,1p31.3,Inactive tyrosine-protein kinase transmembrane receptor ROR1 
ROR2_HUMAN,Q01974,ROR2,Protein kinase superfamily  Tyr protein kinase family  ROR subfamily,Cell membrane Single-pass type I membrane protein,9q22.31,Tyrosine-protein kinase transmembrane receptor ROR2  
RORA_HUMAN,P35398,RORA,Nuclear hormone receptor family  NR1 subfamily,Nucleus,15q22.2,Nuclear receptor ROR-alpha 
ROS1_HUMAN,P08922,ROS1,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,6q22.1,Proto-oncogene tyrosine-protein kinase ROS  
RPKL1_HUMAN,Q9Y6S9,RPS6KL1,Protein kinase superfamily  Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm Membrane Early endosome,14q24.3,Ribosomal protein S6 kinase-like 1 
RYK_HUMAN,P34925,RYK,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass type I membrane protein Nucleus Cytoplasm,3q22.2,Tyrosine-protein kinase RYK 
SBK1_HUMAN,Q52WX2,SBK1,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm,16p12.1,Serine/threonine-protein kinase SBK1  
SBK2_HUMAN,P0C263,SBK2,Protein kinase superfamily  Ser/Thr protein kinase family  STKL subfamily,Cytoplasm,,Serine/threonine-protein kinase SBK2  
SBK3_HUMAN,P0C264,SBK3,Protein kinase superfamily  Ser/Thr protein kinase family  STKL subfamily,Cytoplasm,19q13.42,Uncharacterized serine/threonine-protein kinase SBK3  
SCYL1_HUMAN,Q96KG9,SCYL1,Protein kinase superfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Endoplasmic reticulum-Golgi intermediate compartment Golgi apparatus  cis-Golgi network,11q13.1,N-terminal kinase-like protein 
SCYL2_HUMAN,Q6P3W7,SCYL2,Protein kinase superfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Endoplasmic reticulum-Golgi intermediate compartment Golgi apparatus  cis-Golgi network,12q23.1,SCY1-like protein 2 
SG196_HUMAN,Q9H5K3,POMK,Protein kinase superfamily  Ser/Thr protein kinase family  STKL subfamily,Endoplasmic reticulum membrane Single-pass type II membrane protein,,Protein O-mannose kinase 
SGK1_HUMAN,O00141,SGK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,6q23.2,Serine/threonine-protein kinase Sgk1  
SGK2_HUMAN,Q9HBY8,SGK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm Nucleus,20q13.12,Serine/threonine-protein kinase Sgk2  
SGK3_HUMAN,Q96BR1,SGK3,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,8q13.1,Serine/threonine-protein kinase Sgk3  
SIK1_HUMAN,P57059,SIK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  AMPK subfamily,Cytoplasm Nucleus,21q22.3,Serine/threonine-protein kinase SIK1  
SIK2_HUMAN,Q9H0K1,SIK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm,11q23.1,Serine/threonine-protein kinase SIK2  
SIK3_HUMAN,Q9Y2K2,SIK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm,11q23.3,Serine/threonine-protein kinase SIK3  
SLK_HUMAN,Q9H2G2,SLK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,10q24.33-q25.1,STE20-like serine/threonine-protein kinase 
SMG1_HUMAN,Q96Q15,SMG1,PI3/PI4-kinase family,Nucleus Cytoplasm,16p12.3,Serine/threonine-protein kinase SMG1 
SNRK_HUMAN,Q9NRH2,SNRK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus,3p22.1,SNF-related serine/threonine-protein kinase  
SPEG_HUMAN,Q15772,SPEG,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus,2q35,Striated muscle preferentially expressed protein kinase  
SRC_HUMAN,P12931,SRC,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane Mitochondrion inner membrane Nucleus Cytoplasm  cytoskeleton Cytoplasm  perinuclear region,20q11.23,Proto-oncogene tyrosine-protein kinase Src  
SRMS_HUMAN,Q9H3Y6,SRMS,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm,-,Tyrosine-protein kinase Srms 
SRPK1_HUMAN,Q96SB4,SRPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,6p21.31,SRSF protein kinase 1  
SRPK2_HUMAN,P78362,SRPK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,7q22.3,SRSF protein kinase 2  
SRPK3_HUMAN,Q9UPE1,SRPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,Xq28,SRSF protein kinase 3  
ST17A_HUMAN,Q9UEE5,STK17A,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus,7p13,Serine/threonine-protein kinase 17A  
ST17B_HUMAN,O94768,STK17B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cell membrane Endoplasmic reticulum-Golgi intermediate compartment,2q32.3,Serine/threonine-protein kinase 17B  
ST32A_HUMAN,Q8WU08,STK32A,Protein kinase superfamily  Ser/Thr protein kinase family,Cell membrane; Lipid-anchor,5q32,Serine/threonine-protein kinase 32A  
ST32B_HUMAN,Q9NY57,STK32B,Protein kinase superfamily  Ser/Thr protein kinase family,Cell membrane; Lipid-anchor,4p16.2,Serine/threonine-protein kinase 32B  
ST32C_HUMAN,Q86UX6,STK32C,Protein kinase superfamily  Ser/Thr protein kinase family,Cell membrane; Lipid-anchor,10q26.3,Serine/threonine-protein kinase 32C  
ST38L_HUMAN,Q9Y2H1,STK38L,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,12p11.23,Serine/threonine-protein kinase 38-like  
STK10_HUMAN,O94804,STK10,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cell membrane Peripheral membrane protein,5q35.1,Serine/threonine-protein kinase 10  
STK11_HUMAN,Q15831,STK11,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  LKB1 subfamily,Nucleus. Cytoplasm. Membrane Mitochondrion.,19p13.3,Serine/threonine-protein kinase STK11  
STK16_HUMAN,O75716,STK16,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm  perinuclear region. Membrane Lipid-anchor,2q35,Serine/threonine-protein kinase 16  
STK24_HUMAN,Q9Y6E0,STK24,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cell membrane Peripheral membrane protein,13q32.2,Serine/threonine-protein kinase 24  
STK25_HUMAN,O00506,STK25,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Golgi apparatus,2q37.3,Serine/threonine-protein kinase 25  
STK26_HUMAN,Q9P289,STK26,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Golgi apparatus,Xq26.2,Serine/threonine-protein kinase 26  
STK3_HUMAN,Q13188,STK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,8q22.2,Serine/threonine-protein kinase 3  
STK31_HUMAN,Q9BXU1,STK31,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm  perinuclear region. Membrane Lipid-anchor,7p15.3,Serine/threonine-protein kinase 31  
STK33_HUMAN,Q9BYT3,STK33,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm  perinuclear region,11p15.4,Serine/threonine-protein kinase 33 
STK35_HUMAN,Q8TDR2,STK35,Protein kinase superfamily  Ser/Thr protein kinase family,Cell membrane; Lipid-anchor,20p13,Serine/threonine-protein kinase 35  
STK36_HUMAN,Q9NRP7,STK36,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Nucleus,2q35,Serine/threonine-protein kinase 36  
STK38_HUMAN,Q15208,STK38,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,6p21.31,Serine/threonine-protein kinase 38  
STK39_HUMAN,Q9UEW8,STK39,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,2q24.3,STE20/SPS1-related proline-alanine-rich protein kinase 
STK4_HUMAN,Q13043,STK4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,20q13.12,Serine/threonine-protein kinase 4  
STK40_HUMAN,Q8N2I9,STK40,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,1p34.3,Serine/threonine-protein kinase 40  
STKL1_HUMAN,Q8NE28,STKLD1,Protein kinase superfamily  Ser/Thr protein kinase family  STKL subfamily,Cytoplasm Nucleus,9q34.2,Serine/threonine kinase-like domain-containing protein STKLD1 
STRAA_HUMAN,Q7RTN6,STRADA,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Nucleus Cytoplasm,17q23.3,STE20-related kinase adapter protein alpha 
STRAB_HUMAN,Q9C0K7,STRADB,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Nucleus Cytoplasm,2q33.1,STE20-related kinase adapter protein beta 
STYK1_HUMAN,Q6J9G0,STYK1,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass membrane protein,12p13.2,Tyrosine-protein kinase STYK1  
TAOK1_HUMAN,Q7L7X3,TAOK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,17q11.2,Serine/threonine-protein kinase TAO1  
TAOK2_HUMAN,Q9UL54,TAOK2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasmic vesicle membrane Multi-pass membrane protein Cytoplasm  cytoskeleton. Nucleus.,16p11.2,Serine/threonine-protein kinase TAO2  
TAOK3_HUMAN,Q9H2K8,TAOK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell membrane Peripheral membrane protein,12q24.23,Serine/threonine-protein kinase TAO3  
TBCK_HUMAN,Q8TEA7,TBCK,Protein kinase superfamily,Cytoplasm Cytoplasm  cytoskeleton  spindle Midbody,4q24,TBC domain-containing protein kinase-like protein
TBK1_HUMAN,Q9UHD2,TBK1,Protein kinase superfamily  Ser/Thr protein kinase family  I-kappa-B kinase subfamily,Cytoplasm,12q14.2,Serine/threonine-protein kinase TBK1  
TEC_HUMAN,P42680,TEC,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cell membrane Cytoplasm  cytosol,4p12-p11,Tyrosine-protein kinase Tec 
TESK1_HUMAN,Q15569,TESK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Membrane Peripheral membrane protein,9p13.3,Dual specificity testis-specific protein kinase 1  
TESK2_HUMAN,Q96S53,TESK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Nucleus,1p34.1,Dual specificity testis-specific protein kinase 2  
TEX14_HUMAN,Q8IWB6,TEX14,Protein kinase superfamily,Cytoplasm Midbody Chromosome  centromere  kinetochore,17q22,Inactive serine/threonine-protein kinase TEX14 
TGFR1_HUMAN,P36897,TGFBR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Cell junction  tight junction Cell surface Membrane raft,9q22.33,TGF-beta receptor type-1 
TGFR2_HUMAN,P37173,TGFBR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Membrane raft,3p24.1,TGF-beta receptor type-2 
TIE1_HUMAN,P35590,TIE1,Protein kinase superfamily  Tyr protein kinase family  Tie subfamily,Cell membrane Single-pass type I membrane protein,1p34.2,Tyrosine-protein kinase receptor Tie-1 
TIE2_HUMAN,Q02763,TEK,Protein kinase superfamily  Tyr protein kinase family  Tie subfamily,Cell membrane Single-pass type I membrane protein. Cell junction Cell junction  focal adhesion Cytoplasm  cytoskeleton. Secreted,9p21.2,Angiopoietin-1 receptor  
TIP_SHV24,P25049,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,,Tyrosine-protein kinase-interacting protein 
TIP_SHV2C,P22575,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,,Tyrosine-protein kinase-interacting protein 
TIP_SHV48,P88825,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,,Tyrosine protein kinase-interacting protein 
TITIN_HUMAN,Q8WZ42,TTN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,2q31.2,Titin  
TLK1_HUMAN,Q9UKI8,TLK1,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus,2q31.1,Serine/threonine-protein kinase tousled-like 1  
TLK2_HUMAN,Q86UE8,TLK2,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus,17q23.2,Serine/threonine-protein kinase tousled-like 2  
TNI3K_HUMAN,Q59H18,TNNI3K,Protein kinase superfamily  TKL Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus Cytoplasm,1p31.1,Serine/threonine-protein kinase TNNI3K  
TNIK_HUMAN,Q9UKE5,TNIK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell membrane Peripheral membrane protein,3q26.2-q26.31,TRAF2 and NCK-interacting protein kinase 
TNK1_HUMAN,Q13470,TNK1,Protein kinase superfamily  Tyr protein kinase family,Cytoplasm Membrane Peripheral membrane protein,17p13.1,Non-receptor tyrosine-protein kinase TNK1  
TNKS1_HUMAN,O95271,TNKS,UNAVAILABLE,Cytoplasm Golgi apparatus membrane Peripheral membrane protein Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus  nuclear pore complex Chromosome  telomere Cytoplasm  cytoskeleton  spindle pole,8p23.1,Poly [ADP-ribose] polymerase tankyrase-1  
TOPK_HUMAN,Q96KB5,PBK,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm,8p21.1,Lymphokine-activated killer T-cell-originated protein kinase  
TRIB1_HUMAN,Q96RU8,TRIB1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Nucleus Cytoplasm,8q24.13,Tribbles homolog 1 
TRIB2_HUMAN,Q92519,TRIB2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Cytoplasm Cytoplasm  cytoskeleton,2p24.3,Tribbles homolog 2 
TRIB3_HUMAN,Q96RU7,TRIB3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Nucleus,20p13,Tribbles homolog 3 
TRIO_HUMAN,O75962,TRIO,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,5p15.2,Triple functional domain protein  
TRPM6_HUMAN,Q9BX84,TRPM6,Protein kinase superfamily  Alpha-type protein kinase family  ALPK subfamily; Transient receptor (TC 1.A.4) family  LTrpC subfamily  TRPM6 sub-subfamily,Cell membrane Multi-pass membrane protein.,9q21.13,Transient receptor potential cation channel subfamily M member 6  
TRPM7_HUMAN,Q96QT4,TRPM7,Protein kinase superfamily  Alpha-type protein kinase family  ALPK subfamily; Transient receptor (TC 1.A.4) family  LTrpC subfamily  TRPM7 sub-subfamily,Membrane Multi-pass membrane protein,15q21.2,Transient receptor potential cation channel subfamily M member 7  
TSSK1_HUMAN,Q9BXA7,TSSK1B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,5q22.2,Testis-specific serine/threonine-protein kinase 1 
TSSK2_HUMAN,Q96PF2,TSSK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,22q11.21,Testis-specific serine/threonine-protein kinase 2 
TSSK3_HUMAN,Q96PN8,TSSK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,1p35.1,Testis-specific serine/threonine-protein kinase 3 
TSSK4_HUMAN,Q6SA08,TSSK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,14q12,Testis-specific serine/threonine-protein kinase 4 
TSSK6_HUMAN,Q9BXA6,TSSK6,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,,Testis-specific serine/threonine-protein kinase 6 
TTBK1_HUMAN,Q5TCY1,TTBK1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family,Cytoplasm,6p21.1,Tau-tubulin kinase 1  
TTBK2_HUMAN,Q6IQ55,TTBK2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family,Cell projection  cilium Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole. Cytoplasm  cytosol. Nucleus.,15q15.2,Tau-tubulin kinase 2 
TTK_HUMAN,P33981,TTK,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Nucleus,6q14.1,Dual specificity protein kinase TTK  
TXK_HUMAN,P42681,TXK,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm Nucleus Cell membrane Peripheral membrane protein,4p12,Tyrosine-protein kinase TXK  
TYK2_HUMAN,P29597,TYK2,Protein kinase superfamily  Tyr protein kinase family  JAK subfamily,Cytoplasm Nucleus Cell membrane Peripheral membrane protein,19p13.2,Non-receptor tyrosine-protein kinase TYK2 
TYRO3_HUMAN,Q06418,TYRO3,Protein kinase superfamily  Tyr protein kinase family  AXL/UFO subfamily,Cytoplasm Nucleus Cell membrane Peripheral membrane protein,15q15.1,Tyrosine-protein kinase receptor TYRO3  
UFO_HUMAN,P30530,AXL,Protein kinase superfamily  Tyr protein kinase family  AXL/UFO subfamily,Cell membrane Single-pass type I membrane protein,19q13.2,Tyrosine-protein kinase receptor UFO  
UHMK1_HUMAN,Q8TAS1,UHMK1,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus,1q23.3,Serine/threonine-protein kinase Kist  
ULK1_HUMAN,O75385,ULK1,Protein kinase superfamily  Ser/Thr protein kinase family  APG1/unc-51/ULK1 subfamily,Cytoplasm  cytosol Preautophagosomal structure,12q24.33,Serine/threonine-protein kinase ULK1  
